date,sentiment
2014-01-01,0.2404909999999999
2014-01-02,0.343552
2014-01-03,0.235612
2014-01-04,0.322943
2014-01-05,0.253775
2014-01-06,0.255654
2014-01-07,0.273179
2014-01-08,0.17451
2014-01-09,0.216918
2014-01-10,0.258682
2014-01-11,0.309162
2014-01-12,0.3294189999999999
2014-01-13,0.1802329999999999
2014-01-14,0.218704
2014-01-15,0.301771
2014-01-16,0.288778
2014-01-17,0.1398519999999999
2014-01-18,0.296768
2014-01-19,0.3127959999999999
2014-01-20,0.2668459999999999
2014-01-21,0.4073319999999999
2014-01-22,0.26827
2014-01-23,0.305346
2014-01-24,0.289659
2014-01-25,0.33002
2014-01-26,0.150743
2014-01-27,0.225825
2014-01-28,0.2525
2014-01-29,0.279496
2014-01-30,0.280557
2014-01-31,0.325876
2014-02-01,0.229356
2014-02-02,0.144044
2014-02-03,0.2585699999999999
2014-02-04,0.240203
2014-02-05,0.359315
2014-02-06,0.083723
2014-02-07,0.040927
2014-02-08,0.156191
2014-02-09,0.2786659999999999
2014-02-10,-0.0420129999999999
2014-02-11,0.109586
2014-02-12,0.2304439999999999
2014-02-13,0.0521609999999999
2014-02-14,0.036841
2014-02-15,0.0887689999999999
2014-02-16,0.220484
2014-02-17,0.214442
2014-02-18,0.1916479999999999
2014-02-19,0.248336
2014-02-20,0.154719
2014-02-21,0.307096
2014-02-22,0.149038
2014-02-23,0.259293
2014-02-24,0.046223
2014-02-25,-0.025001
2014-02-26,0.0898569999999999
2014-02-27,0.081178
2014-02-28,0.0647539999999999
2014-03-01,-0.0310219999999999
2014-03-02,0.197032
2014-03-03,0.209953
2014-03-04,0.197433
2014-03-05,0.16174
2014-03-06,0.173617
2014-03-07,0.166586
2014-03-08,0.229394
2014-03-09,0.180588
2014-03-10,0.218332
2014-03-11,0.351353
2014-03-12,0.214782
2014-03-13,0.2147109999999999
2014-03-14,0.201403
2014-03-15,0.261861
2014-03-16,0.270836
2014-03-17,0.282335
2014-03-18,0.322603
2014-03-19,0.357798
2014-03-20,0.2463929999999999
2014-03-21,0.0515349999999999
2014-03-22,0.267111
2014-03-23,0.172756
2014-03-24,0.270158
2014-03-25,0.241117
2014-03-26,0.209689
2014-03-27,0.196323
2014-03-28,0.229
2014-03-29,0.2264989999999999
2014-03-30,0.22255
2014-03-31,0.3111509999999999
2014-04-01,0.2535909999999999
2014-04-02,0.243386
2014-04-03,0.251463
2014-04-04,0.190668
2014-04-05,0.200853
2014-04-06,0.177934
2014-04-07,0.2246989999999999
2014-04-08,0.258095
2014-04-09,0.142564
2014-04-10,0.085159
2014-04-11,0.137543
2014-04-12,0.308882
2014-04-13,0.234122
2014-04-14,0.356104
2014-04-15,0.20686
2014-04-16,0.2147029999999999
2014-04-17,0.232267
2014-04-18,0.178844
2014-04-19,0.317437
2014-04-20,0.135927
2014-04-21,0.255606
2014-04-22,0.231083
2014-04-23,0.150659
2014-04-24,0.30233
2014-04-25,0.230939
2014-04-26,0.19188
2014-04-27,0.202259
2014-04-28,0.250072
2014-04-29,0.260362
2014-04-30,0.23797
2014-05-01,0.229839
2014-05-02,0.285071
2014-05-03,0.216889
2014-05-04,0.293389
2014-05-05,0.225976
2014-05-06,0.25983
2014-05-07,0.306796
2014-05-08,0.230852
2014-05-09,0.148824
2014-05-10,0.176672
2014-05-11,0.170324
2014-05-12,0.201398
2014-05-13,0.211744
2014-05-14,0.306577
2014-05-15,0.266378
2014-05-16,0.383701
2014-05-17,0.306329
2014-05-18,0.274281
2014-05-19,0.2308469999999999
2014-05-20,0.27695
2014-05-21,0.287332
2014-05-22,0.248305
2014-05-23,0.255337
2014-05-24,0.084675
2014-05-25,0.207336
2014-05-26,0.201252
2014-05-27,0.160718
2014-05-28,0.222681
2014-05-29,0.288766
2014-05-30,0.2203709999999999
2014-05-31,0.281762
2014-06-01,0.318303
2014-06-02,0.264789
2014-06-03,0.227379
2014-06-04,0.260589
2014-06-05,0.266674
2014-06-06,0.258378
2014-06-07,0.184476
2014-06-08,0.081646
2014-06-09,0.294183
2014-06-10,0.312951
2014-06-11,0.097053
2014-06-12,0.216983
2014-06-13,0.241416
2014-06-14,0.211518
2014-06-15,0.233631
2014-06-16,0.200413
2014-06-17,0.2771369999999999
2014-06-18,0.284598
2014-06-19,0.1961439999999999
2014-06-20,0.265243
2014-06-21,0.386088
2014-06-22,0.298137
2014-06-23,0.219689
2014-06-24,0.308176
2014-06-25,0.199083
2014-06-26,0.206964
2014-06-27,0.254644
2014-06-28,0.28994
2014-06-29,0.179297
2014-06-30,0.207339
2014-07-01,0.342361
2014-07-02,0.268873
2014-07-03,0.2559369999999999
2014-07-04,0.171185
2014-07-05,0.284304
2014-07-06,0.339622
2014-07-07,0.275702
2014-07-08,0.144639
2014-07-09,0.252807
2014-07-10,0.38508
2014-07-11,0.0370799999999999
2014-07-12,0.203158
2014-07-13,0.163935
2014-07-14,0.323445
2014-07-15,0.177655
2014-07-16,0.255527
2014-07-17,0.13465
2014-07-18,0.262685
2014-07-19,0.2183119999999999
2014-07-20,0.220473
2014-07-21,0.151738
2014-07-22,0.23002
2014-07-23,0.3465549999999999
2014-07-24,0.3013929999999999
2014-07-25,0.116538
2014-07-26,0.273015
2014-07-27,0.271426
2014-07-28,0.243217
2014-07-29,0.178743
2014-07-30,0.174979
2014-07-31,0.351022
2014-08-01,0.219784
2014-08-02,0.271387
2014-08-03,0.246838
2014-08-04,0.255279
2014-08-05,0.25586
2014-08-06,0.236166
2014-08-07,0.233609
2014-08-08,0.325415
2014-08-09,0.245387
2014-08-10,0.224948
2014-08-11,0.236376
2014-08-12,0.387419
2014-08-13,0.28142
2014-08-14,0.180523
2014-08-15,0.136582
2014-08-16,0.325833
2014-08-17,0.28717
2014-08-18,0.156846
2014-08-19,0.261213
2014-08-20,0.283136
2014-08-21,0.255474
2014-08-22,0.17294
2014-08-23,0.211751
2014-08-24,0.313266
2014-08-25,0.246915
2014-08-26,0.273427
2014-08-27,0.217239
2014-08-28,0.2251419999999999
2014-08-29,0.310538
2014-08-30,0.222457
2014-08-31,0.134076
2014-09-01,0.1338669999999999
2014-09-02,0.1862279999999999
2014-09-03,0.319068
2014-09-04,0.297164
2014-09-05,0.389775
2014-09-06,0.263941
2014-09-07,0.181145
2014-09-08,0.203539
2014-09-09,0.15383
2014-09-10,0.278247
2014-09-11,0.278265
2014-09-12,0.175177
2014-09-13,0.347975
2014-09-14,0.22971
2014-09-15,0.257161
2014-09-16,0.253584
2014-09-17,0.155559
2014-09-18,0.1779
2014-09-19,0.031482
2014-09-20,0.28592
2014-09-21,0.21599
2014-09-22,0.265056
2014-09-23,0.278125
2014-09-24,0.2793049999999999
2014-09-25,0.259575
2014-09-26,0.280658
2014-09-27,0.28813
2014-09-28,0.1603889999999999
2014-09-29,0.170577
2014-09-30,0.279384
2014-10-01,0.306853
2014-10-02,0.2388479999999999
2014-10-03,0.28657
2014-10-04,0.262883
2014-10-05,0.191818
2014-10-06,0.216142
2014-10-07,0.291759
2014-10-08,0.37381
2014-10-09,0.277775
2014-10-10,0.1113169999999999
2014-10-11,0.288174
2014-10-12,0.3407699999999999
2014-10-13,0.278874
2014-10-14,0.370135
2014-10-15,0.206064
2014-10-16,0.217248
2014-10-17,0.320112
2014-10-18,0.292871
2014-10-19,0.317388
2014-10-20,0.2268939999999999
2014-10-21,0.323837
2014-10-22,0.301423
2014-10-23,0.362282
2014-10-24,0.311518
2014-10-25,0.10135
2014-10-26,0.1878589999999999
2014-10-27,0.328323
2014-10-28,0.275273
2014-10-29,0.353241
2014-10-30,0.256506
2014-10-31,0.213811
2014-11-01,0.253481
2014-11-02,0.253415
2014-11-03,0.202464
2014-11-04,0.212621
2014-11-05,0.357678
2014-11-06,0.20433
2014-11-07,0.169265
2014-11-08,0.263117
2014-11-09,0.2276719999999999
2014-11-10,0.250045
2014-11-11,0.403593
2014-11-12,0.2134809999999999
2014-11-13,0.2649749999999999
2014-11-14,0.295475
2014-11-15,0.235266
2014-11-16,0.257525
2014-11-17,0.293489
2014-11-18,0.1977969999999999
2014-11-19,0.237346
2014-11-20,0.325723
2014-11-21,0.184303
2014-11-22,0.311968
2014-11-23,0.156012
2014-11-24,0.262264
2014-11-25,0.208981
2014-11-26,0.045562
2014-11-27,0.092895
